TWEET;CREENCIA;CONFIANZA
"#HouseGOP Wow. There is serious ""overwhelming evidence of global warming"" falling from the sky in DC right now! Up to 30"" of it=RECORD #tcot";Yes;0.6833
Well, of course! RT @StephenAtHome: I think we can all agree this Prius disaster proves once and for all that global warming doesn't exist;No;0.6655
"#ANTISCIENCE #GOP #FAIL RT @climatebrad: Seriously, ""12 inches of global warming?"" This is killer stupid. http://bit.ly/cWGVaD #climate";Yes;0.7105
"@JulieJoyce I studied earth science as an undergrad & grad student, this is proven science fact, not open to debate like global ""warming""";No;1
RT @alexlundry: Tempted to unfollow anyone that conflates #snOMG with global warming skepticism.;Yes;1
Blizzard in DC called snowpocalypse. Verizon guy told me 30 inches coming out where I live. Huh? Deep fodder for #climate change denialists?;No;0.6568
Invasive News: Invasive Species Thriving in Period of Climate Change - Einnews Portugal: India TalkiesInvasive Spe... http://bit.ly/a3zJSd;Yes;0.7053
Just attended an excellent EDF Board meeting http://bit.ly/61N0U Great eco policy shop. Present challenges on global warming front.;Yes;1
It's settled: Global warming science is sloppy http://goo.gl/fb/Fxxk;No;0.6891
It's settled: Global warming science is sloppy http://goo.gl/fb/J0ED;No;0.6902
It's settled: Global warming science is sloppy: From the Dutch News: According to the last IPCC report, published ... http://bit.ly/aUhPiR;No;1
What's New: Forests Are Growing Faster, Climate Change Appears To Driving Accelerated Growth (Feb 1, 2010) http://bit.ly/9XHCRB;Yes;1
Boy. Global warming is one slick buster.;No;0.6597
Videos:  How we know humans are changing the climate and climate change is a clear and present danger http://bit.ly/biQnl0;Yes;1
http://bit.ly/fG3j Farm costs headed up says study of climate-change legislation ... http://bit.ly/bCwVk3;Yes;0.6323
CBS: Global Warming Science Sound, ClimateGate Just a PR Problem http://ow.ly/16vzpO;Yes;0.6917
RT @StephenAtHome: I think we can all agree this Prius disaster proves once and for all that global warming doesn't exist;No;1
RT @drgrist: Utah nat. resources committee passes resolution denying the existence of climate change: http://is.gd/7M50p Utah: Still crazy!;No;0.6672
RT @keder    RT @DaggettBeaver: Washington DC is going to have to shovel up to 2 feet of global warming. #tcot #p2;Yes;0.4454
*waiting for Drudge to juxtapose a story about #Snowmageddon with one about climate change, with a corny joke/caption* only a matter of time;Yes;0.6585
RT @DaggettBeaver: Washington DC is going to have to shovel up to 2 feet of global warming. #tcot #p2;Yes;0.6533
Rich Galen: Is global warming another DC snow job? (Blizzard?) http://blogs.chron.com/txpotomac/2010/02/rich_galen_is_global_warming_a.html;No;1
"[@ClimateProgress] Energy and Global Warming News for February 5: How activists took on oil companies; Calif. regul... http://ow.ly/16vxYn";Yes;0.8123
Now Tibet takes a hit with global warming as temperatures reach a record high! #green http://icio.us/of2mts;Yes;1
CBS: Global Warming Science Sound, ClimateGate Just a PR Problem http://ow.ly/14jVj #tcot #iamthemob;Yes;0.6882
Shorter Virginia GOP: It's snowing so global warming is bunk. http://bit.ly/av5d94;No;0.6607
RT @milesgrant: Virginia Republican Party mocks those who trust science of global warming - like Bob McDonnell: http://ow.ly/14jM0;Yes;0.653
Virginia Republican Party mocks those who trust science of global warming - like Bob McDonnell: http://ow.ly/14jM0;No;0.7024
Homes that are subject to #climate change (pictures): http://ow.ly/14iFF;Yes;1
Bulgaria Antarctic Expedition Partakes in Climate Change Research http://bit.ly/bTvjq1;Yes;0.6603
Obama won't protect pika endangered by climate change http://bit.ly/bTyNEH;Yes;1
@MatthewJLB Funny RFK Jr. wrote a column last winter that global warming led to rare snow in DC #fail;No;0.5071
@jmac82 So much for global warming! :-P;No;1
OL News: Oceans Reveal Further Impacts of Climate Change http://bit.ly/9GQoBz;Yes;1
Another Epic Snowstorm in DC: And Other Climate Change Surprises #climate http://bit.ly/bGUyv0;Yes;0.71
RT @sciencedaily: Stratospheric Water Vapor is a Global Warming Wild Card: A 10 percent drop in water vapor ten miles above Earth's ... http://bit.ly/bVEsWa;Yes;1
Malthusian failure. // RT @TelegraphNews India forms new climate change body http://bit.ly/dCOe4U;Yes;0.6662
"RT @VA_GOP - Watch the new RPV Web Ad: ""12 Inches of Global Warming"" http://bit.ly/cUi0LO http://bit.ly/9wJf5u";No;0.7133
@whpatterson because of climate change, of course. KIDDINGGGGGGGG;No;1
More climate change duncery in action: http://tinyurl.com/yz7qyn6 (This extra-snowy winter brought to you by warm El Ni•_Ðo moisture, btw);No;0.518
Could #Climate Change be contributing to this ?...#snOMG'#snopocalypse #snowmageddon #snOMGasm http://bit.ly/cSwqMw;Yes;0.4868
@StndrdBitch The whole northern hemisphere is colder this winter. Record snowfalls in China and Europe. Must be global warming.;No;0.6646
"@devhammer unlesss global warming will stop the snow fall ;)";Yes;0.6801
While I wait in DC for blizzard, a reminder that waves of weird, wet snowbombs are consistent with global warming. Video: http://j.mp/b4wuRv;Yes;1
RT @fdncenter: Global Philanthropy Forum starts today! View FC presentations on Global Health, Climate Change, more http://bit.ly/atqpmt;Yes;0.6804
RT @AGUSciPolicy: AGU cosponsoring #climate change & human health briefing today on Capitol Hill. 11A-12:30P 210 House Cannon & 2P-3:30P 406 Senate Dirksen;Yes;0.6828
Do you agree?  Lawmaker: Climate change just ruse to control population -http://bit.ly/cV92QG;No;0.7064
"best of luck! @alpSCentre: ...if our new ""Centre for Climate Change Adaptation Technologies alpS"" will be funded by Austrian Gov";Yes;0.6678
@LamontKingtv LOL I'm just making a funny. But YES global warming is REAL.;Yes;1
"Time to hunker down and ""Ride the storm out"". They are calling it historical. So much for global warming.";No;0.7137
How Is Denying New Info on Abstinence Any Different from Denying Climate Change? http://bit.ly/9HVgwX;Yes;0.6165
Hot Air Video: O'Reilly vs. Jon Stewart on foreign policy, global warming, Palin: The exciting conclusion to last ... http://bit.ly/aBP34k;Yes;0.6459
"ABC labels Pachauri ""leading global warming scientist"" http://bit.ly/cZ56b8";Yes;1
"US Government Finds that Pika is ""Not at Risk"" from Climate Change http://bit.ly/bMfu80 #WWFUS #WWF #climate";Yes;0.6402
"US Government Finds that Pika is ""Not at Risk"" from Climate Change: The U.S. Government will p... http://bit.ly/bMfu80 #climate #WWFUS #WWF";Yes;1
"""Too much change is not a good thing. Just ask the climate."" - Michael Scott #fb";Yes;0.6751
"""Too much change is not a good thing; ask the climate"" - Michael Scott";Yes;1
"""Too much change is not a good thing. Just ask the climate."" - Michael Scott";Yes;1
Too much change is not a good thing.  Ask the climate.;Yes;1
"Pete: ""How do we combat them?""  Tell them we've got global warming, financial crisis, energy crisis, terrorism ... they'll leave.";No;0.643
"Post: ""Climate Change ""Destabilizing Geopolitical Force"""" http://tinyurl.com/yjlwvyw";Yes;0.6611
Overall, pretty orderly in Target, considering the global warming headed our way...#dc;Yes;0.6824
I wonder if the massive snowstorm about to shut down DC is the result of 'global warming'.;Yes;0.6517
Bolivian UN Ambassador Pablo Solon on the World Peoples' Summit on Climate Change and Rights of Mother Earth. http://bit.ly/8Z2KyL;Yes;0.6446
DailyKos on the military leading on climate change. Why won't Republicans listen to military anymore? http://bit.ly/dAwoPy @operationfree;Yes;0.674
RT @BBC_WNA: Why climate change scepticism in Australia has grown from a fringe argument into a mainstream political movement. WNA @ 7pm;No;0.6957
i'm the fuckin' rumplestiltzkin of climate change. doin' the impossible for last minute meetings, bitches.;No;0.6941
Mann's hockey stick graph that shows humans are causing #climate change is STILL LEGIT after intense scrutiny. http://tinyurl.com/yf9gmoz;Yes;0.6472
I don't think there's any Global Warming. Seriously, i think we're headed for an Ice Age.;No;1
RT@rff_org New video: Experts talk climate change, extreme weather, and insuring the next Katrina. http://bit.ly/7Hz0WQ;Yes;1
RT @OperationFree Op Free and QDR in sync: climate change threatens national security.  http://bit.ly/aGVNOh;Yes;1
would like to thank the #snowpocalypse for ruining his birthday plans. Where is global warming when you need it?;No;0.7136
RT @sciencedaily: Oceans reveal further impacts of climate change: The increasing acidity of the world's oceans -- and that acidity'... http://bit.ly/9YHS1c;Yes;1
Oceans reveal further impacts of climate change: The increasing acidity of the world's oceans -- and that acidity'... http://bit.ly/9YHS1c;Yes;1
RT @seeprogress: Posted 'Climate Change Is a Clear and Present Danger' to blip.tv: http://blip.tv/file/3176067;Yes;1
Global Warming Hysteria: IPCC Report Mistake About Elevation of the Netherlands http://bit.ly/aVEWkp;No;0.6779
"Be sure to check out our Top 40 ""Change Your Climate, Change Our World"" contest videos and leave your comments: http://ow.ly/13Riw";Yes;0.6544
Michael Barone at @TownhallCom : How Climate-Change Fanatics Corrupted Science http://ow.ly/13PNw;No;1
YAY another #snowpocalypse is ON. THE. WAY. Dare I say it?... Thanks climate change. And again kicking myself for not bringing my xc skis.;Yes;0.6611
NOAA: Sea Grant awards mini-grants to help communities adapt to climate change. http://ow.ly/13WXw;Yes;1
RT @MilesGrant: I LOVE IT! #Climategate has gone nowhere so global warming deniers have started #Glaciergate! TEH TRUTH IS OUT THERE.;No;0.5072
RT @milesgrant: I LOVE IT! #Climategate has gone nowhere so global warming deniers have started #Glaciergate! TEH TRUTH IS OUT THERE.;Yes;1
RT @OperationFree: Op Free and QDR in sync: climate change threatens national security. http://bit.ly/aGVNOh;Yes;0.6489
Time Magazine has a Problem with the Truth about Global Warming: By Alan Caruba Bryan Walsh has a great career in... http://bit.ly/cLHTrV;No;0.6761
U.N. climate change body blasted -- by Greenpeace? http://goo.gl/fb/EhOu;No;0.6566
Enlisting a drug discovery technique in the battle against global warming http://bit.ly/byzkWv #climate;Yes;1
Invasive #plants are beneficiaries of #climate change in Thoreau's woods http://bit.ly/dtkeBP;Yes;1
Check out philanthropy info on climate change from the Foundation Center. http://bit.ly/cEfOiO #green @fdncenter;Yes;0.6651
Invasive plants are beneficiaries of climate change in Thoreau's woods : http://eurekalert.org/e/3Jgg @PLoS #EurekAlert;Yes;0.6957
Misreading of polls is playing into the hands of #climate change deniers http://bit.ly/9WdznJ;Yes;0.7018
U.N. climate change body blasted -- by Greenpeace? http://goo.gl/fb/cTlF;No;0.3806
RT @BillWilsonALG: Lindsay Graham getting public love from Obama. Someone needs to tell Graham that climate change is a proven lie. http://bit.ly/9w8RHw #tcot;No;1
#Wetlands & #prairies more sensitive to #climate change than previously thought http://bit.ly/9k84Qh #waterfowl #potholes;Yes;1
Preparing for the Global Warming event this weekend. (@ Costco) http://4sq.com/4qG5cH;Yes;1
Methane: The New #Climate Change Indicator? http://bit.ly/cLDQGZ (via @huffingtonpost) #green;Yes;1
new Foundry post: Climate Change Scientific Consensus Cloudy as Ever http://bit.ly/bXpVUf;Yes;0.4918
"""Political talk shows discuss global warming. This is science (fiction).""";No;1
Bin laden joins global warming doomsayers: http://www.fumento.com/weblog/archives/2010/01/bin_laden_joins.html;Yes;0.6702
".@LuvableSole 12-20"" what?! effing global warming!  #weallgonnadie";No;0.6228
So its in the 40s today and tomorrow they're calling for another blizzard. Yes, global warming is real! Lol;No;0.6773
Our team is mapping geopolitics of climate change this morning. Which countries/blocks do you think are most important? why? /RT @350;Yes;1
Global Warming Update http://ow.ly/16uUpb;Yes;1
"RT @huffingtonpostz Canada's Wolverine Population Declines As Result Of Climate Change http://is.gd/7GSpU &lt;- and lack of more X-Men sequels";Yes;1
Expecting 1-2 more feet of global warming this weekend.;Yes;0.6664
Intel Threat Assessments on climate change: I compare '09 to '10. Surprisingly interesting: http://bit.ly/92KXhL;Yes;1
"Post: ""Drug discovery technique could help in the battle against global warming"" http://tinyurl.com/yjxebsw";Yes;1
"20"" of snow? Ok that's it, everyone go buy all the aerosols you can, go outside and start spraying. I'm now cheering on global warming.";No;1
"Economics and politics align for climate change says pena #RETECH ""energy efficiency in recession requires political will"" #energycollectiv";Yes;1
Man I love global warming. #fb;Yes;1
I LOVE IT! #Climategate has gone nowhere so global warming deniers have started #Glaciergate! TEH TRUTH IS OUT THERE.;Yes;0.6978
Coal Caucus At Odds with Mining Industry on Climate Change http://ow.ly/16uRDK;Yes;0.6801
RT @climatedebate: UN official says climate change science robust despite errors in panel ...:  http://bit.ly/9cysf9;Yes;0.6756
Vice President, Climate Change - World Wildlife Fund: We are seeking a Vice President, Climate Change to provide t... http://bit.ly/a18HvB;Yes;0.6585
RT @mcmcvey: 3 approaches that will inspire others to take small steps toward transformative change http://bit.ly/9JEhsM #environment #p2 #climate;Yes;0.6953
RT @ihatethemedia IHateTheMedia.com gets a message from global warming scientist Koko Warner | IHatetheMedia http://ow.ly/1o56oK #tcot;Yes;0.6957
GLOBAL WARMING BUSTED by the President! - http://tinyurl.com/yjj5ovp;No;1
DHS: Fossil Fuels and Climate Change are  'National Threats' http://bit.ly/bTIImM;Yes;0.6386
DHS: Fossil Fuels and Climate Change are 'National Threats' http://bit.ly/dlQgDY #TCOT #RS;Yes;1
Lovely . . . another foot of global warming coming our way this weekend . . . http://bit.ly/bb0XQo;Yes;1
3 approaches that will inspire others to take small steps toward transformative change http://bit.ly/9JEhsM #environment #p2 #climate;Yes;0.6735
"Global Warming ""Gore Hockey Stick"" slammed by top British statistician http://bit.ly/dj1eqW";No;0.6467
RT @terryacarter For those doubting global warming because of this snow. Vancouver having warmest Winter on record. It's called a trend line;Yes;1
@thigpensrevenge it's the global warming gods jo. everything's all whacked up and around and inside out and upside down;No;0.6869
RT @kombiz: pretty big.. Former Senator Warner ties Climate Change to security issues...  http://bit.ly/9a5S0n;Yes;0.6922
RT @kombiz: pretty big.. Former Senator Warner ties Climate Change to security issues...  http://bit.ly/9a5S0n;No;0.3568
RT @kombiz: pretty big.. Former Senator Warner ties Climate Change to security issues...  http://bit.ly/9a5S0n;Yes;0.6334
RT @kombiz: pretty big.. Former Senator Warner ties Climate Change to security issues...  http://bit.ly/9a5S0n;Yes;0.6602
RT @STXherry: RT @lizarddawg: Ok,so the global warming issue is becoming a heist-who's going 2 jail? #UN #gop  [Barney Frank--he'll like it];No;0.7092
For those of you doubting global warming because of this snow: Vancouver has had it's warmest Winter on record. It's called a trend line.;Yes;1
For those of you doubting global warming because of this snow. Vancouver has had it's warmest Winter on record. It's called a trend line.;Yes;1
pretty big.. Former Senator Warner ties Climate Change to security issues...  http://bit.ly/9a5S0n;Yes;0.6713
RT @mmfa: Hill devotes article to baseless global warming attacks, Gore bashing: #p2 #noisemachine #climate http://ow.ly/166Bh;Yes;0.4767
Libtard Dylan Ratigan explains why massive snow in DC is PROOF of Global Warming http://bit.ly/aLICxl #cbiz #teaparty #tcot #ocra #sgp #912;No;0.6548
Libtard Dylan Ratigan explains why massive snow in DC is PROOF of Global Warming http://bit.ly/aLICxl #cbiz #teaparty #tcot #ocra #sgp #912;Yes;0.6708
MSNBC Reporter Insists Record Snow Out East Is Due to Global Warming http://tinyurl.com/yjzytto #tcot #ocra;Yes;0.6291
RT @ebertchicago: Many scientists believe the Snowpocalypse is more evidence of Climate Change, a.k.a. warming.;Yes;0.6837
RT @OTOOLEFAN I'm embarrassed to live in a country where elected officials cite a snowstorm as proof that global warming is a hoax.;Yes;1
wow we had a blizzard & an earthquake. Take that you global warming non-believers!;Yes;1
What ISN'T evidence of glbl warmg? RT @ebertchicago: Many scientists believe the Snowpocalypse is more evidnce of Climate Change aka warming;No;0.6957
RT @Uncucumbered: @sarahrosehurt ths Reps R getting 2 me 2day. They have decided that the snow is proof thr is no global warming, & gloat.;No;0.4935
"ENOUGH with the ""what global warming?"" idiocy. It's neither funny nor original, and the bizarre snowfall is a SYMPTOM of climate change.";Yes;1
Yo Al Gore!!  Where's your Global Warming NOW!!!;No;0.724
Can't believe that people think excess snow makes global warming a non-reality... wow, read some books!;Yes;1
Unreal: Top Yahoo Headline- 'Analysis: How Global Warming Makes Blizzards Worse' http://tinyurl.com/ykxbolc #tcot #ocra;Yes;0.6483
RT @boliviaun: Guardian: Bolivia climate change talks to give poor a voice - Groups on frontline of global warming head to #cochabamba http://is.gd/bywgY;Yes;1
RT @sciam: How to Reform the Intergovernmental Panel on Climate Change http://bit.ly/ctvuIh [How about ending it?];Yes;0.6729
Moron: Hannity: Snow Storms 'Seem To Contradict Al Gore's Hysterical Global Warming Theories' http://post.ly/NC2w;No;0.6442
Just like Evolution, Climate Change is Real http://post.ly/NBw8;Yes;1
RT @Kalel194: Time magazine claims 'Global Warming Makes Blizzards Worse' http://tinyurl.com/yas7en6;Yes;0.6782
Global warming will make world more 'fragrant' http://bit.ly/azMqYJ  #tcot #ocra;Yes;0.5046
Global Warming My Ass!!!! Fuck You  AL Gore;No;1
RT @KamaainaInOC: RT@STXherry: RT@slkbrooke: Obama Wants To Make Global Warming Key Element In US Dfnse Strategy http://bit.ly/9jwD1Q #tcot;Yes;0.6135
The Robin Hood tax: A tiny tax on bankers that would give billions to tackle poverty and climate change, here and ... http://bit.ly/9l3zPO;Yes;0.6466
@ebertchicago re: that global warming article: indeed, bloggers can definitely make shit up! we didn't need a MSM article to tell us that;No;0.6467
RT @boliviaun: Guardian: Bolivia climate change talks to give poor a voice - Groups on frontline of global warming head to #cochabamba http://is.gd/bywgY;Yes;0.6944
http://bit.ly/auiZPZ -Politics, Science Collide Over Recent Snow Storms-Which is why we need to drop 'warming' word,use climate change.;Yes;1
@carney don't worry with Global warming you will be at the beach swimming in March;Yes;0.6784
Understanding climate change: There's an ap for that http://bit.ly/cnFYZP;Yes;0.6476
"You saying he didn't? RT @DennyLonergan: Rt Gore won't give up on the ""global warming"" gig.  He still thinks he invented the internet";No;1
Crippled By Blizzard, DC Announces New Global Warming Agency by Phone http://bit.ly/adkfNW  #tcot #ocra;Yes;0.6532
Morning everybody. Any of you still skeptical about the effects of global warming?? Or do you think the end is near? #earthquakeinillinois;Yes;1
Reading: Global Warming In One State at Power Line http://www.powerlineblog.com/archives/2010/02/025557.php;Yes;0.6999
RT @Drudge_Report: TIME MAG:  How Global Warming Makes Blizzards Worse... http://drudge.tw/9oXiLZ = FAIL.;Yes;1
.@BrazilTour 'political barriers, and lack of good data. Weather modification is not climate change: would like to see, back of envelope,;No;1
U.S. Climate Change Portal Could Birth Entirely New Industries http://www.fastcompany.com/15437... Read more at http://bit.ly/9Z5WKf;Yes;0.7038
SEC Follows Through with Guidance Regarding Disclosure of Climate Change Risks and Opportunitie... Read more at http://bit.ly/9HQoEQ;Yes;0.6437
the snowpocalypse in the jerz is really subpar so far.  i finally believe in global warming.;Yes;0.6987
"Dripping with irony: Senate EPW Committee hearing on ""Global Warming Impacts"" postponed because of snow http://2eyf.sl.pt #warmers #algore";No;0.8055
I rated a YouTube video (5 out of 5 stars) -- Hitler was behind Global Warming - Climategate http://youtu.be/jGdbHW9Nlds?a;No;0.6649
Check this video out -- Hitler was behind Global Warming - Climategate http://youtu.be/jGdbHW9Nlds #tweetcongress #michellemalkin #teaparty;Yes;0.6346
Palin on global warming: 'bunch of snake oil science' http://newser.me/94tFLo;No;0.6975
"Snowmageddon Rearranges Climate Change Announcement http://bit.ly/biv3Yk &lt;- Love the irony.";No;0.528
Belief in human role in global warming is down, but green purchasing is up. #sogb;Yes;0.6694
What do the proponents of global warming consider normal climate change? global warming http://bit.ly/c6l90x;Yes;1
"@CalebHowe So in other words, ""Global Climate Change"" has its benefits. I could live with this.";Yes;0.6751
DoD's QDR says Climate change (may accelerate instability or conflict, etc.) and energy are two key security issues. http://u.nu/5x935;Yes;0.6529
@FrostyJane No, but sometimes I think the #Mythbusters should do an episode on this whole global warming thing. CONFIRMED!;Yes;0.6349
! crop production Global Warming: Melting Away! | The Doc Is In;Yes;1
Climate change in U.S.: Trees in Colorado dying. Not enough water in Calif. Hurricane Katrina as act of man.    #catholicsmg10;Yes;1
Guest Article #33: Chemicals management and climate change ...: Chemicals are an integral part of the daily life w... http://bit.ly/a31dl0;Yes;1
Attention knuckle-draggers:  The unusual snowfall in D.C. is BECAUSE of climate change, not in spite of it.  #morons;Yes;1
@MNNative  I don't know anymore, Global warming?...oops Climate Change!;No;0.648
Tough sledding for the global warming alarmists  The Star-Ledger global warming :) http://bit.ly/8ZSiAd;No;0.6746
Another snowstorm heads for Washington--White House creating global warming office http://tinyurl.com/yj6w57j #tcot #green #politics #gop;Yes;0.6585
RT @cln007: Another snow day, 6 inches and still snowing, must be global warming;No;0.6587
Population Control and Climate Change (Part 1) http://bit.ly/cf39ly #News;Yes;0.6597
"@dcagle I am unfollowing you because of that idiotic ""global warming"" cartoon. It's trite AND off-the-mark.";No;0.6591
Yea snow @algore what happened to global warming lol;No;0.6399
Darn global warming! You're doin' it wrong! Where is my extended summer vacation?!;Yes;1
"RT @TeaPartyNJ: Global Warming - Wash gets record snow fall, another 20 in tomorrow.  God is clearly on the side of the cons // brilliant;)";Yes;0.4916
:) global warming facts http://bit.ly/dccyht Facts About Crude Oil;Yes;0.6959
Hey Al Gore- Could you sprinkle some Global Warming fairy dust on my car tonight? We're supposed to get 10-14 inches of snow by the morning.;No;1
New Climate Agency!?  So spend more $ for something no one is in control of or can change.  Brilliant...dang it's cold outside.;No;0.6672
DC rally April 25 http://bit.ly/cwUzaA to set the stage for Senate unveiling of new #climate change bill http://nyti.ms/csrxPR;Yes;0.695
As Sea Level Rises So Does The Level Of Climate Change Denial http://shar.es/aLckR via @sharethis;Yes;1
Apparently the Obama Administration is proposing a Climate Service Agency to study climate change.  Another excellent use of taxpayer $.;No;0.6145
Global warming degrading Arctic faster than first thought http://u.nu/4gg25;Yes;1
This winter will likely do more to put a dagger in the heart of the global warming cause than all the right-wing Republicans put together.;No;0.7067
"The group of people who would be most displeased with this winter are the ""global warming"" activists.";No;1
RT @bakeanddestroy: Dear Stupid People Who Think These Winter Storms Means There's No Such Thing As Global Warming, You're stupid. Love, Shut up via @DougBenson;Yes;0.7164
Dear Stupid People Who Think These Winter Storms Means There's No Such Thing As Global Warming, You're stupid. Love, Shut up via @DougBenson;Yes;1
RT @DougBenson: Dear Stupid People Who Think These Winter Storms Means There's No Such Thing As Global Warming, You're stupid. Love, Shut up;Yes;1
:) http://bit.ly/auUPBL There is No Man Made Climate Crisis (Global Warming is a Hoax) global warming;No;1
RT @iconicearth: Federal #Climate Change Agency Being Formed:  http://ow.ly/15aMD #p2 #eco #green;Yes;0.6453
http://bit.ly/dmOGrA national ocean service New Federal Climate Change Agency Forming :O;Yes;0.6582
RT @MFFL8209: LOL RT @AlGoresBrain: My left foot is slightly smaller than my right.This is due to Global Warming. Take off your shoes. Look.;No;0.6724
RT @Earth_News: Guardian: Bolivia climate change talks to give poor a voice http://bit.ly/9WRxZk;Yes;0.6528
Ways To Prevent Global Warming | Renewable Energy: http://bit.ly/cEFXtp via @addthis;Yes;1
YouTube  Thomas Sowell: Global Warming Manufactured by Intellectuals? :) http://bit.ly/9mJLOt causes of global warming;No;1
YouTube - Thomas Sowell: Global Warming Manufactured by Intellectuals? peter m robinson :O;No;0.6507
The Great Global Warming Collapse http://bit.ly/drrEIN #tcot #greenpolice (H/T @gfulgoni);No;0.6745
Whoa! As the science scandals keep coming, the air has gone out of the climate-change movement  http://bit.ly/9zHTH5;No;1
RT @greenforyou Global Warming Makes Trees Grow Faster #green http://bit.ly/aTcHok;Yes;1
RT @Greenpeace Shrinking #water resources a major #climate change impact. Reuters #news: http://j.mp/bMktM6 #ecomonday;Yes;0.6342
";P ways to stop global warming IPCC devil deserves its due http://bit.ly/aWcovy";Yes;1
Worse: what if we *should* be experiencing a crushing cold winter due to the solar min and we are *not* because of climate change?;Yes;0.6555
What would a year without summer, due only to an intense solar minimum (i.e. 1816), imply for climate change efforts? Ppl won't get this.;Yes;1
"Economic and Social Consequences of Global Warming http://bit.ly/d0k9N6 association of british insurers ;O";Yes;0.6807
"ways to stop global warming ;P Are ALL of these ways to stop global warming? http://bit.ly/agw1in";Yes;0.6648
The Audi green police will play right into all the crazy fears of the right wing global warming deniers.;Yes;1
The great global warming collapse http://2ehp.sl.pt #warmers #algore;No;0.4818
"http://twitpic.com/11zs79 - Terra view of the near record show storm over Washington DC.  ""Global warming""??  Ha Ha!!!";No;1
"""Cambio clim•_àtico y poblaci•_Ñn."" http://1x.org/?l=w684 #tcot #icot Global Warming skepticism finally made it to Latin America. #climatechange";No;1
Ocean Acidification: A Hidden Risk of Global Warming http://bit.ly/drr5Xm;Yes;1
global warming swindle IPCCs vice-chairman thinks its glaciers gaffe has increased its credibilty    http://bit.ly/aWa9SH;No;0.6292
"Yeah totally; so when snow melts; they can show evidence ;) no? @Gemstars: Will Global Warming Mean More Snow? _ http://bit.ly/ao6fql";No;1
Climate Compass | Blog of the Pew Center on Global Climate Change http://bit.ly/dpJ02T;Yes;0.6857
RT @irun131: damn global warming...5 to 9 inches by tomorrow;Yes;0.6287
"Hmm, it's February, 30"" of snow in DC and the sun is shining on the grass in Chicago, global warming or karma?";No;1
Al Gore preached his climate change, he wanted us all 2 CARE, but after all was said & done, the evidence wasn't THERE #libpoems #tcot #sgp;No;1
Al Gore preached his climate change, he wanted us all 2 CARE, but after all was said & done, the evidence wasn't THERE #libpoems #tcot #sgp;No;1
. http://bit.ly/aqwt24 global warming facts World leaders back embattled Pachauri;Yes;0.6845
RT @Drudge_Report: RFK, Jr. 15 months ago: Global warming means no snow or cold in DC... http://drudge.tw/bUA5f0;Yes;0.6748
RT @Greenpeace Despite the sceptics, #climate change must remain a priority http://j.mp/9IpUIA;Yes;1
RT @croesus2009 Met Office blocked role of leading scientist in climate change row http://oohja.com/x6zfY Doesn't want truth out there #tcot;No;0.5087
In DC now it's freezing cold, its really bad & STORMING, I bet those folks could really use, some of Al Gore's Global WARMING #libpoem #tcot;No;0.7189
In DC now it's freezing cold, its really bad & STORMING, I bet those folks could really use, some of Al Gore's Global WARMING #libpoem #tcot;No;0.655
In DC now it's freezing cold, its really bad & STORMING, I bet those folks could really use, some of Al Gore's Global WARMING #libtard #tcot;No;0.6915
Al Gore preached his climate change, he wanted us all to CARE, but after all was said & done, the evidence wasn't THERE #libpoems #tcot #sgp;No;1
Al Gore preached his climate change, he wanted us all to CARE, but after all was said & done, the evidence wasn't THERE #libpoems #tcot #sgp;No;0.635
If Global Warming Is Real Then Why Is It Cold: editorial cartoonists are not scientists, in other words http://bit.ly/azDm9O;No;1
The great global warming collapse http://bit.ly/dzIKfA;No;1
@justkarl Aww, stop picking on #Juan! He had to WALK to the studio... It's that damned Global Warming, I tell ya!;No;0.6505
Great pic of weather caused by Global Warming alarmists! RT @dnoxon: RT @RoseD1st1: http://twitpic.com/11s6eq - Hell yes!;No;1
Phony Climate Change Agenda Used In Australia to Force Expensive Home Inspections http://bit.ly/aoo65o;No;0.682
The Great Unraveling: http://bit.ly/c3pJNv Professional global warming alarmists better think about looking for new jobs #tcot;No;1
National preach-in on global warming happens 2/12-14. Do I hear an amen!! http://bit.ly/aiej0a;Yes;0.6999
climate summit http://bit.ly/73s8Su Bob Geldof Talks Climate Change In Copenhagen :O;Yes;0.6662
"http://bit.ly/9UYFbO ;P Global Warming Wont Melt Ignorance g spot";Yes;0.6856
30 inches of snow in DC winter everywhere no global warming yet the myth persists;No;1
http://bit.ly/biclGD -Snow piles up, paralyzing nation's capital-I luv climate change,there is very mild winter in Chicago so far. WTG...;Yes;0.4831
@GovernAmerica You're bluffing. There is overwhelming consensus among climate scientists for the basic global warming narrative.;Yes;1
"Global Warming,  http://bit.ly/dviVg0 via @addthis DC conference canceled,""lack of interest"". Do they get it?  #tcot #ocra";No;0.6517
acs http://bit.ly/cldU6W Enlisting a drug discovery technique in the battle against global warming;Yes;0.7164
:P Time Magazine Has a Problem with the Truth about Global Warming  al gore global warming http://bit.ly/cvqlup;No;0.6642
:)  Time Magazine Has a Problem with the Truth about Global Warming ... norwegian nobel committee;Yes;0.6691
"""If Global Warming Is Real Then Why Is It Cold"", a small collection of editorial cartoons for your amusement #fb http://icio.us/1loesb";No;0.8123
India forms new climate change body http://bit.ly/dzWsBx #climategate #warmers;Yes;0.667
"Global warming??? ;P global warming http://bit.ly/czJOXE";No;0.5901
